,Date,Region,Product,Unit,Price
0,2017-06-01,GBA,Pan francés,kg,38.64
1,2017-06-01,GBA,Harina de trigo común,kg,10.67
2,2017-06-01,GBA,Arroz blanco simple,kg,20.96
3,2017-06-01,GBA,Fideos secos tipo guisero,500 g,19.08
4,2017-06-01,GBA,Carne picada común,kg,72.2
5,2017-06-01,GBA,Pollo entero,kg,34.45
6,2017-06-01,GBA,Aceite de girasol,"1,5 litros",50.41
7,2017-06-01,GBA,Leche fresca entera sachet,Litro,20.96
8,2017-06-01,GBA,Huevos de gallina,Docena,33.23
9,2017-06-01,GBA,Papa,kg,13.9
10,2017-06-01,GBA,Azúcar,kg,19.16
11,2017-06-01,GBA,Detergente líquido,750 cc,19.53
12,2017-06-01,GBA,Lavandina,1.000 cc,15.7
13,2017-06-01,GBA,Jabón de tocador,125 g,13.99
14,2017-06-01,Pampeana,Pan francés,kg,31.42
15,2017-06-01,Pampeana,Harina de trigo común,kg,11.19
16,2017-06-01,Pampeana,Arroz blanco simple,kg,20.79
17,2017-06-01,Pampeana,Fideos secos tipo guisero,500 g,16.91
18,2017-06-01,Pampeana,Carne picada común,kg,76.04
19,2017-06-01,Pampeana,Pollo entero,kg,36.61
20,2017-06-01,Pampeana,Aceite de girasol,"1,5 litros",52.46
21,2017-06-01,Pampeana,Leche fresca entera sachet,Litro,22.63
22,2017-06-01,Pampeana,Huevos de gallina,Docena,33.0
23,2017-06-01,Pampeana,Papa,kg,13.59
24,2017-06-01,Pampeana,Azúcar,kg,18.62
25,2017-06-01,Pampeana,Detergente líquido,750 cc,21.94
26,2017-06-01,Pampeana,Lavandina,1.000 cc,14.7
27,2017-06-01,Pampeana,Jabón de tocador,125 g,14.27
28,2017-06-01,Noreste,Pan francés,kg,28.67
29,2017-06-01,Noreste,Harina de trigo común,kg,11.35
30,2017-06-01,Noreste,Arroz blanco simple,kg,19.82
31,2017-06-01,Noreste,Fideos secos tipo guisero,500 g,14.4
32,2017-06-01,Noreste,Carne picada común,kg,68.67
33,2017-06-01,Noreste,Pollo entero,kg,37.3
34,2017-06-01,Noreste,Aceite de girasol,"1,5 litros",51.08
35,2017-06-01,Noreste,Leche fresca entera sachet,Litro,22.53
36,2017-06-01,Noreste,Huevos de gallina,Docena,29.33
37,2017-06-01,Noreste,Papa,kg,13.21
38,2017-06-01,Noreste,Azúcar,kg,17.9
39,2017-06-01,Noreste,Detergente líquido,750 cc,19.93
40,2017-06-01,Noreste,Lavandina,1.000 cc,16.07
41,2017-06-01,Noreste,Jabón de tocador,125 g,14.23
42,2017-06-01,Noroeste,Pan francés,kg,32.32
43,2017-06-01,Noroeste,Harina de trigo común,kg,10.53
44,2017-06-01,Noroeste,Arroz blanco simple,kg,18.48
45,2017-06-01,Noroeste,Fideos secos tipo guisero,500 g,13.44
46,2017-06-01,Noroeste,Carne picada común,kg,81.89
47,2017-06-01,Noroeste,Pollo entero,kg,36.0
48,2017-06-01,Noroeste,Aceite de girasol,"1,5 litros",51.46
49,2017-06-01,Noroeste,Leche fresca entera sachet,Litro,21.55
50,2017-06-01,Noroeste,Huevos de gallina,Docena,30.08
51,2017-06-01,Noroeste,Papa,kg,11.33
52,2017-06-01,Noroeste,Azúcar,kg,16.35
53,2017-06-01,Noroeste,Detergente líquido,750 cc,23.05
54,2017-06-01,Noroeste,Lavandina,1.000 cc,14.75
55,2017-06-01,Noroeste,Jabón de tocador,125 g,14.65
56,2017-06-01,Cuyo,Pan francés,kg,28.12
57,2017-06-01,Cuyo,Harina de trigo común,kg,10.45
58,2017-06-01,Cuyo,Arroz blanco simple,kg,18.28
59,2017-06-01,Cuyo,Fideos secos tipo guisero,500 g,17.36
60,2017-06-01,Cuyo,Carne picada común,kg,72.9
61,2017-06-01,Cuyo,Pollo entero,kg,34.22
62,2017-06-01,Cuyo,Aceite de girasol,"1,5 litros",48.26
63,2017-06-01,Cuyo,Leche fresca entera sachet,Litro,23.22
64,2017-06-01,Cuyo,Huevos de gallina,Docena,35.84
65,2017-06-01,Cuyo,Papa,kg,13.01
66,2017-06-01,Cuyo,Azúcar,kg,17.86
67,2017-06-01,Cuyo,Detergente líquido,750 cc,21.91
68,2017-06-01,Cuyo,Lavandina,1.000 cc,14.23
69,2017-06-01,Cuyo,Jabón de tocador,125 g,14.21
70,2017-06-01,Patagonia,Pan francés,kg,38.43
71,2017-06-01,Patagonia,Harina de trigo común,kg,12.14
72,2017-06-01,Patagonia,Arroz blanco simple,kg,25.82
73,2017-06-01,Patagonia,Fideos secos tipo guisero,500 g,20.68
74,2017-06-01,Patagonia,Carne picada común,kg,91.12
75,2017-06-01,Patagonia,Pollo entero,kg,42.98
76,2017-06-01,Patagonia,Aceite de girasol,"1,5 litros",50.31
77,2017-06-01,Patagonia,Leche fresca entera sachet,Litro,23.82
78,2017-06-01,Patagonia,Huevos de gallina,Docena,43.34
79,2017-06-01,Patagonia,Papa,kg,19.44
80,2017-06-01,Patagonia,Azúcar,kg,21.34
81,2017-06-01,Patagonia,Detergente líquido,750 cc,34.48
82,2017-06-01,Patagonia,Lavandina,1.000 cc,16.2
83,2017-06-01,Patagonia,Jabón de tocador,125 g,15.09
84,2017-07-01,GBA,Pan francés,kg,39.12
85,2017-07-01,GBA,Harina de trigo común,kg,10.61
86,2017-07-01,GBA,Arroz blanco simple,kg,21.08
